hospital_id,hospital_name,ownership,division,district,upazila,latitude,longitude,facility_type,facility_level,total_beds,vacant_beds,icu_beds,available_icu_beds,accepting_referrals,last_reported_date,last_reported_time,has_emergency,emergency_level,dept_medicine,dept_cardiology,dept_neurology,dept_gastroenterology,dept_pulmonology,dept_nephrology,dept_orthopedics,dept_surgery,dept_ent,dept_obgyn,dept_pediatrics,dept_dermatology,dept_ophthalmology,dept_psychiatry
FR00001,Hathazari 50-bed Hospital,Fully Government-owned,Chattogram,Chattogram,Hathazari,21.50499,92.14067,50-bed Hospital,Secondary,50,4,0,0,1,2026-01-12,9:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00002,Cumilla Medical College Hospital,Fully Government-owned,Chattogram,Cumilla,Daudkandi,21.76532,92.00202,Medical College Hospital,Tertiary,500,22,28,6,1,2026-01-12,9:45,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00003,Jashore Specialized Hospital,Fully Government-owned,Khulna,Jashore,Jashore Sadar,23.0693,89.68293,Specialized Hospital,Tertiary,401,18,28,5,1,2026-01-12,10:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00004,Ishwardi 20-bed Hospital,Fully Government-owned,Rajshahi,Pabna,Ishwardi,24.93582,88.77123,20-bed Hospital,Primary,20,2,0,0,1,2026-01-12,10:05,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
FR00005,Moulvibazar Specialized Hospital,Fully Government-owned,Sylhet,Moulvibazar,Moulvibazar Sadar,25.23784,91.65516,Specialized Hospital,Tertiary,374,20,22,5,1,2026-01-12,10:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00006,Galachipa 50-bed Hospital,Fully Government-owned,Barishal,Patuakhali,Galachipa,22.09627,90.20257,50-bed Hospital,Secondary,50,3,0,0,1,2026-01-12,10:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00007,Panchlaish 10-bed Hospital,Fully Government-owned,Chattogram,Chattogram,Panchlaish,22.96822,91.56265,10-bed Hospital,Primary,10,0,0,0,0,2026-01-12,10:25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00008,Laksam Upazila Health Complex,Fully Government-owned,Chattogram,Cumilla,Laksam,21.62681,91.77946,Upazila Health Complex,Primary,100,0,0,0,0,2026-01-12,10:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00009,Jashore Sadar 50-bed Hospital,Fully Government-owned,Khulna,Jashore,Jashore Sadar,22.60117,89.05957,50-bed Hospital,Secondary,50,4,1,0,1,2026-01-12,10:35,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00010,Sylhet Specialized Hospital,Fully Government-owned,Sylhet,Sylhet,Golapganj,25.01428,91.70001,Specialized Hospital,Tertiary,302,25,34,7,1,2026-01-12,10:40,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00011,Rajshahi Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Rajshahi,Rajshahi,Godagari,24.37688,89.55695,Maternal & Child Welfare Centre (MCWC),Secondary,44,3,0,0,1,2026-01-12,10:45,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00012,Dinajpur Sadar Upazila Health Complex,Fully Government-owned,Rangpur,Dinajpur,Dinajpur Sadar,26.40925,89.6611,Upazila Health Complex,Primary,100,0,0,0,0,2026-01-12,10:50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FR00013,Badarganj 10-bed Hospital,Fully Government-owned,Rangpur,Rangpur,Badarganj,26.75373,89.66078,10-bed Hospital,Primary,10,0,0,0,0,2026-01-12,10:55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FR00014,Patuakhali Sadar 30-bed Hospital,Fully Government-owned,Barishal,Patuakhali,Patuakhali Sadar,21.80422,90.50546,30-bed Hospital,Secondary,31,4,0,0,1,2026-01-12,11:00,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00015,Barishal District Hospital,Fully Government-owned,Barishal,Barishal,Bakerganj,22.45996,90.13924,District/General Hospital,Secondary,250,12,6,2,1,2026-01-12,11:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00016,Sylhet Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Sylhet,Sylhet,Golapganj,24.89089,91.67831,Maternal & Child Welfare Centre (MCWC),Secondary,10,1,0,0,1,2026-01-12,11:10,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00017,Moulvibazar Medical College Hospital,Fully Government-owned,Sylhet,Moulvibazar,Moulvibazar Sadar,25.25756,91.65996,Medical College Hospital,Tertiary,750,32,84,8,1,2026-01-12,11:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00018,Phulpur Upazila Health Complex,Fully Government-owned,Mymensingh,Mymensingh,Phulpur,25.34153,90.28164,Upazila Health Complex,Primary,31,0,0,0,0,2026-01-12,11:20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00019,Batiaghata 30-bed Hospital,Fully Government-owned,Khulna,Khulna,Batiaghata,22.84988,89.39429,30-bed Hospital,Secondary,31,3,1,0,1,2026-01-12,11:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00020,Mymensingh Sadar 50-bed Hospital,Fully Government-owned,Mymensingh,Mymensingh,Mymensingh Sadar,24.94714,90.35313,50-bed Hospital,Secondary,50,4,1,0,1,2026-01-12,11:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00021,Khulna Medical College Hospital,Fully Government-owned,Khulna,Khulna,Khulna Sadar,22.23141,89.29739,Medical College Hospital,Tertiary,750,35,41,9,1,2026-01-12,11:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00022,Jashore Specialized Hospital,Fully Government-owned,Khulna,Jashore,Chaugachha,22.92335,89.79415,Specialized Hospital,Tertiary,209,16,18,4,1,2026-01-12,21:55,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00023,Trishal 10-bed Hospital,Fully Government-owned,Mymensingh,Mymensingh,Trishal,25.02488,90.48973,10-bed Hospital,Primary,10,0,0,0,0,2026-01-12,22:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00024,Dhanmondi 10-bed Hospital,Fully Government-owned,Dhaka,Dhaka,Dhanmondi,23.65464,90.13411,10-bed Hospital,Primary,10,0,0,0,1,2026-01-12,22:05,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
FR00025,Shibganj 50-bed Hospital,Fully Government-owned,Rajshahi,Bogura,Shibganj,24.79202,89.07046,50-bed Hospital,Secondary,50,4,1,0,1,2026-01-12,22:10,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00026,Dhanmondi 50-bed Hospital,Fully Government-owned,Dhaka,Dhaka,Dhanmondi,23.84068,90.60526,50-bed Hospital,Secondary,50,5,1,0,1,2026-01-12,22:15,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00027,Gazipur Medical College Hospital,Fully Government-owned,Dhaka,Gazipur,Kapasia,23.99204,90.31851,Medical College Hospital,Tertiary,1200,38,82,10,1,2026-01-12,22:20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00028,Dinajpur Sadar 50-bed Hospital,Fully Government-owned,Rangpur,Dinajpur,Dinajpur Sadar,25.29357,89.53574,50-bed Hospital,Secondary,50,3,0,0,1,2026-01-12,22:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00029,Narayanganj Medical College Hospital,Fully Government-owned,Dhaka,Narayanganj,Narayanganj Sadar,24.02636,90.1102,Medical College Hospital,Tertiary,1200,45,102,12,1,2026-01-12,22:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
